### Generated by the command:
### src/extract_conll.py en ./data ./splits -j statuses.json -ls tok:g sem:g
# newdoc id = p02/d0010
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = A girl is styling her hair
paper~bag	paper~bag	CON
?	?	QUE

# newdoc id = p02/d0964
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tyler Jackson has been sentenced to 18 months.
Tyler~Jackson	Tyler~Jackson	PER
has	has	NOW
been	been	PFT
sentenced	sentenced	EXS
to	to	REL
18	18	QUC
months	months	UOM
.	.	NIL

# newdoc id = p02/d1229
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The organizers expect more than 300,000 visitors.
The	The	DEF
organizers	organizers	ROL
expect	expect	ENS
more~than	more~than	MOR
300,000	300,000	QUC
visitors	visitors	ROL
.	.	NIL

# newdoc id = p02/d1256
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Graf defeated Bradtke from Australia 6:2, 6:2.
Graf	Graf	PER
defeated	defeated	EPS
Bradtke	Bradtke	PER
from	from	REL
Australia	Australia	GPE
6:2	6:2	SCO
,	,	GRP
6:2	6:2	SCO
.	.	NIL

# newdoc id = p02/d1304
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = But he is quiet and thoughtful, isn't he?
But	But	BUT
he	he	PRO
is	is	NOW
quiet	quiet	IST
and	and	COO
thoughtful	thoughtful	IST
,	,	NIL
is	is	NOW
n't	n't	NOT
he	he	PRO
?	?	QUE

# newdoc id = p02/d1382
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Who painted "Sunflowers"?
Who	Who	QUE
painted	painted	EPS
"	"	NIL
Sunflowers	Sunflowers	ART
"	"	NIL
?	?	QUE

# newdoc id = p02/d1384
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What city is Southwestern University in?
What	What	QUE
city	city	CON
is	is	ENS
Southwestern~University	Southwestern~University	ORG
in	in	REL
?	?	QUE

# newdoc id = p02/d1387
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Who is John Lennon's wife?
Who	Who	QUE
is	is	ENS
John~Lennon	John~Lennon	PER
's	's	HAS
wife	wife	ROL
?	?	QUE

# newdoc id = p02/d1388
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What company did Nicholas Brady found?
What	What	QUE
company	company	CON
did	did	PST
Nicholas~Brady	Nicholas~Brady	PER
found	found	EXS
?	?	QUE

# newdoc id = p02/d1389
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What is the first name of Nelson Mandela's wife?
What	What	QUE
is	is	ENS
the	the	DEF
first~name	first~name	CON
of	of	REL
Nelson~Mandela	Nelson~Mandela	PER
's	's	HAS
wife	wife	ROL
?	?	QUE

# newdoc id = p02/d1391
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = When was the Gulf War fought?
When	When	QUE
was	was	PST
the	the	DEF
Gulf~War	Gulf~War	HAP
fought	fought	EXS
?	?	QUE

# newdoc id = p02/d1392
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = In which country are the buzkashi contests held?
In	In	REL
which	which	QUE
country	country	CON
are	are	NOW
the	the	DEF
buzkashi	buzkashi	CON
contests	contests	CON
held	held	EXS
?	?	QUE

# newdoc id = p02/d1393
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What is the Cav's arena name?
What	What	QUE
is	is	ENS
the	the	DEF
Cav	Cav	ORG
's	's	HAS
arena	arena	CON
name	name	CON
?	?	QUE

# newdoc id = p02/d1394
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = How close is Mesa to Phoenix?
How	How	QUE
close	close	DEG
is	is	NOW
Mesa	Mesa	GEO
to	to	REL
Phoenix	Phoenix	GPE
?	?	QUE

# newdoc id = p02/d1395
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = How long do mourning doves live?
How	How	QUE
long	long	DEG
do	do	NOW
mourning~doves	mourning~doves	CON
live	live	EXS
?	?	QUE

# newdoc id = p02/d1397
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What is the Kama Sutra?
What	What	QUE
is	is	ENS
the	the	DEF
Kama~Sutra	Kama~Sutra	ART
?	?	QUE

# newdoc id = p02/d1401
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She asked about you.
She	She	PRO
asked	asked	EPS
about	about	REL
you	you	PRO
.	.	NIL

# newdoc id = p02/d1425
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I think Tom is harsh.
I	I	PRO
think	think	ENS
Tom	Tom	PER
is	is	NOW
harsh	harsh	IST
.	.	NIL

# newdoc id = p02/d1435
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = They planted apple trees.
They	They	PRO
planted	planted	EPS
apple~trees	apple~trees	CON
.	.	NIL

# newdoc id = p02/d1439
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom reserved a seat.
Tom	Tom	PER
reserved	reserved	EPS
a	a	DIS
seat	seat	CON
.	.	NIL

# newdoc id = p02/d1443
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The stadium is adjacent to the school.
The	The	DEF
stadium	stadium	CON
is	is	NOW
adjacent	adjacent	IST
to	to	REL
the	the	DEF
school	school	CON
.	.	NIL

# newdoc id = p02/d1444
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = You're so stupid.
You	You	PRO
're	're	NOW
so	so	INT
stupid	stupid	IST
.	.	NIL

# newdoc id = p02/d1458
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The fingerprints left on the weapon match the suspect's.
The	The	DEF
fingerprints	fingerprints	CON
left	left	EXS
on	on	REL
the	the	DEF
weapon	weapon	CON
match	match	ENS
the	the	DEF
suspect	suspect	ROL
's	's	HAS
.	.	NIL

# newdoc id = p02/d1476
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = My car was stolen by a thief.
My	My	HAS
car	car	CON
was	was	PST
stolen	stolen	EXS
by	by	REL
a	a	DIS
thief	thief	ROL
.	.	NIL

# newdoc id = p02/d1489
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I think Tom is rude.
I	I	PRO
think	think	ENS
Tom	Tom	PER
is	is	NOW
rude	rude	IST
.	.	NIL

# newdoc id = p02/d1492
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The air feels somewhat cold this morning.
The	The	DEF
air	air	CON
feels	feels	ENS
somewhat	somewhat	INT
cold	cold	IST
this	this	PRX
morning	morning	CON
.	.	NIL

# newdoc id = p02/d1514
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The pizza is cooking in the oven.
The	The	DEF
pizza	pizza	CON
is	is	NOW
cooking	cooking	EXG
in	in	REL
the	the	DEF
oven	oven	CON
.	.	NIL

# newdoc id = p02/d1525
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = That's not what I told him.
That	That	DST
's	's	ENS
not	not	NOT
what	what	QUE
I	I	PRO
told	told	EPS
him	him	PRO
.	.	NIL

# newdoc id = p02/d1535
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The lion is roaring.
The	The	DEF
lion	lion	CON
is	is	NOW
roaring	roaring	EXG
.	.	NIL

# newdoc id = p02/d1537
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Beethoven wrote nine symphonies.
Beethoven	Beethoven	PER
wrote	wrote	EPS
nine	nine	QUC
symphonies	symphonies	CON
.	.	NIL

# newdoc id = p02/d1539
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The weather is clearing up.
The	The	DEF
weather	weather	CON
is	is	NOW
clearing	clearing	EXG
up	up	REL
.	.	NIL

# raw sent = I needn't have brought an umbrella.
I	I	PRO
need	need	NEC
n't	n't	NOT
have	have	NOW
brought	brought	EXT
an	an	DIS
umbrella	umbrella	CON
.	.	NIL

# newdoc id = p02/d1551
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I like camels.
I	I	PRO
like	like	ENS
camels	camels	CON
.	.	NIL

# newdoc id = p02/d1557
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'm watching figure skating.
I	I	PRO
'm	'm	NOW
watching	watching	EXG
figure~skating	figure~skating	CON
.	.	NIL

# newdoc id = p02/d1562
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The train roared through the tunnel.
The	The	DEF
train	train	CON
roared	roared	EPS
through	through	REL
the	the	DEF
tunnel	tunnel	CON
.	.	NIL

# newdoc id = p02/d1568
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'm sure she has other skills.
I	I	PRO
'm	'm	NOW
sure	sure	IST
she	she	PRO
has	has	ENS
other	other	ALT
skills	skills	CON
.	.	NIL

# newdoc id = p02/d1581
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She obeys him.
She	She	PRO
obeys	obeys	ENS
him	him	PRO
.	.	NIL

# newdoc id = p02/d1612
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom's the best.
Tom	Tom	PER
's	's	ENS
the	the	DEF
best	best	CON
.	.	NIL

# newdoc id = p02/d1632
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I am from China.
I	I	PRO
am	am	ENS
from	from	REL
China	China	GPE
.	.	NIL

# newdoc id = p02/d1640
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Somebody missed the dog.
Somebody	Somebody	DIS
missed	missed	EPS
the	the	DEF
dog	dog	CON
.	.	NIL

# newdoc id = p02/d1641
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Twenty-five hundred British soldiers guarded the border.
Twenty-five~hundred	Twenty-five~hundred	QUC
British	British	GPO
soldiers	soldiers	ROL
guarded	guarded	EPS
the	the	DEF
border	border	CON
.	.	NIL

# newdoc id = p02/d1681
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I'm never late.
I	I	PRO
'm	'm	NOW
never	never	NOT
late	late	IST
.	.	NIL

# newdoc id = p02/d1699
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Your zipper's open.
Your	Your	HAS
zipper	zipper	CON
's	's	NOW
open	open	IST
.	.	NIL

# newdoc id = p02/d1703
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = We ran out of gas in the middle of the desert.
We	We	PRO
ran	ran	EPS
out	out	REL
of	of	REL
gas	gas	CON
in	in	REL
the	the	DEF
middle	middle	CON
of	of	REL
the	the	DEF
desert	desert	CON
.	.	NIL

# newdoc id = p02/d1705
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She is by no means selfish.
She	She	PRO
is	is	NOW
by~no~means	by~no~means	NOT
selfish	selfish	IST
.	.	NIL

# newdoc id = p02/d1706
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The government was overthrown.
The	The	DEF
government	government	CON
was	was	PST
overthrown	overthrown	EXS
.	.	NIL

# newdoc id = p02/d1709
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Mary works for an NGO in Africa.
Mary	Mary	PER
works	works	ENS
for	for	REL
an	an	DIS
NGO	NGO	CON
in	in	REL
Africa	Africa	GPE
.	.	NIL

# newdoc id = p02/d1711
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom doesn't allow his children to eat junk food.
Tom	Tom	PER
does	does	NOW
n't	n't	NOT
allow	allow	EXS
his	his	HAS
children	children	CON
to	to	NIL
eat	eat	EXS
junk~food	junk~food	CON
.	.	NIL

# newdoc id = p02/d1713
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom misled me.
Tom	Tom	PER
misled	misled	EPS
me	me	PRO
.	.	NIL

# newdoc id = p02/d1718
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I wasn't dancing!
I	I	PRO
was	was	PST
n't	n't	NOT
dancing	dancing	EXG
!	!	EMP

# newdoc id = p02/d1735
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The market opens at 9:00 a.m.
The	The	DEF
market	market	CON
opens	opens	ENS
at	at	REL
9:00~a.m	9:00~a.m	CLO
.	.	NIL

# newdoc id = p02/d1740
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Our neighbor owns three Porsches, so he's rich.
Our	Our	HAS
neighbor	neighbor	ROL
owns	owns	ENS
three	three	QUC
Porsches	Porsches	CON
,	,	NIL
so	so	COO
he	he	PRO
's	's	NOW
rich	rich	IST
.	.	NIL

# newdoc id = p02/d1743
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom sings beautifully.
Tom	Tom	PER
sings	sings	ENS
beautifully	beautifully	IST
.	.	NIL

# newdoc id = p02/d1746
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Everyone was killed.
Everyone	Everyone	AND
was	was	PST
killed	killed	EXS
.	.	NIL

# newdoc id = p02/d1748
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = What's your favorite fast food?
What	What	QUE
's	's	ENS
your	your	HAS
favorite	favorite	TOP
fast~food	fast~food	CON
?	?	QUE

# newdoc id = p02/d1752
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She ripped his shirt open.
She	She	PRO
ripped	ripped	EPS
his	his	HAS
shirt	shirt	CON
open	open	IST
.	.	NIL

# newdoc id = p02/d1760
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Eternal love doesn't exist.
Eternal	Eternal	IST
love	love	CON
does	does	NOW
n't	n't	NOT
exist	exist	EXS
.	.	NIL

# newdoc id = p02/d1774
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom told the truth.
Tom	Tom	PER
told	told	EPS
the	the	DEF
truth	truth	CON
.	.	NIL

# newdoc id = p02/d1785
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I wrote a song for you.
I	I	PRO
wrote	wrote	EPS
a	a	DIS
song	song	CON
for	for	REL
you	you	PRO
.	.	NIL

# newdoc id = p02/d1798
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I can't find the newspaper.
I	I	PRO
ca	ca	POS
n't	n't	NOT
find	find	EXS
the	the	DEF
newspaper	newspaper	CON
.	.	NIL

# newdoc id = p02/d1800
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = With whom am I speaking?
With	With	REL
whom	whom	QUE
am	am	NOW
I	I	PRO
speaking	speaking	EXG
?	?	QUE

# newdoc id = p02/d1809
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = A cherry tree grows in a garden.
A	A	DIS
cherry~tree	cherry~tree	CON
grows	grows	EXS
in	in	REL
a	a	DIS
garden	garden	CON
.	.	NIL

# newdoc id = p02/d1811
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom blushed when he saw Mary naked.
Tom	Tom	PER
blushed	blushed	EPS
when	when	REL
he	he	PRO
saw	saw	EPS
Mary	Mary	PER
naked	naked	IST
.	.	NIL

# newdoc id = p02/d1813
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I need a mouse.
I	I	PRO
need	need	ENS
a	a	DIS
mouse	mouse	CON
.	.	NIL

# newdoc id = p02/d1816
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = His house was sold for ten thousand dollars.
His	His	HAS
house	house	CON
was	was	PST
sold	sold	EXS
for	for	REL
ten~thousand	ten~thousand	QUC
dollars	dollars	UOM
.	.	NIL

# newdoc id = p02/d1817
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She gave him a clock.
She	She	PRO
gave	gave	EPS
him	him	PRO
a	a	DIS
clock	clock	CON
.	.	NIL

# newdoc id = p02/d1821
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = They constructed a bridge.
They	They	PRO
constructed	constructed	EPS
a	a	DIS
bridge	bridge	CON
.	.	NIL

# newdoc id = p02/d1823
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The horse is not white.
The	The	DEF
horse	horse	CON
is	is	NOW
not	not	NOT
white	white	COL
.	.	NIL

# newdoc id = p02/d1850
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = We are working for you.
We	We	PRO
are	are	NOW
working	working	EXG
for	for	REL
you	you	PRO
.	.	NIL

# newdoc id = p02/d1864
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Terrorists blew up a bus.
Terrorists	Terrorists	ROL
blew	blew	EPS
up	up	REL
a	a	DIS
bus	bus	CON
.	.	NIL

# newdoc id = p02/d1873
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I think Tom is nervous.
I	I	PRO
think	think	ENS
Tom	Tom	PER
is	is	NOW
nervous	nervous	IST
.	.	NIL

# newdoc id = p02/d1893
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He was ashamed of his ignorance.
He	He	PRO
was	was	PST
ashamed	ashamed	IST
of	of	REL
his	his	HAS
ignorance	ignorance	CON
.	.	NIL

# newdoc id = p02/d1915
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = He set down the telephone number.
He	He	PRO
set	set	EPS
down	down	REL
the	the	DEF
telephone~number	telephone~number	CON
.	.	NIL

# newdoc id = p02/d1939
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = We want a new carpet.
We	We	PRO
want	want	ENS
a	a	DIS
new	new	IST
carpet	carpet	CON
.	.	NIL

# newdoc id = p02/d1944
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I know your secret.
I	I	PRO
know	know	ENS
your	your	HAS
secret	secret	CON
.	.	NIL

# newdoc id = p02/d1946
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = They stared at Tom.
They	They	PRO
stared	stared	EPS
at	at	REL
Tom	Tom	PER
.	.	NIL

# newdoc id = p02/d1949
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = My throat hurts.
My	My	HAS
throat	throat	CON
hurts	hurts	ENS
.	.	NIL

# newdoc id = p02/d1954
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom rode his horse through the woods.
Tom	Tom	PER
rode	rode	EPS
his	his	HAS
horse	horse	CON
through	through	REL
the	the	DEF
woods	woods	CON
.	.	NIL

# newdoc id = p02/d1970
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = The prisoner was released.
The	The	DEF
prisoner	prisoner	ROL
was	was	PST
released	released	EXS
.	.	NIL

# newdoc id = p02/d1977
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom needed a hammer.
Tom	Tom	PER
needed	needed	EPS
a	a	DIS
hammer	hammer	CON
.	.	NIL

# newdoc id = p02/d1979
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She patted her back.
She	She	PRO
patted	patted	EPS
her	her	HAS
back	back	CON
.	.	NIL

# newdoc id = p02/d1981
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I broke Tom's nose.
I	I	PRO
broke	broke	EPS
Tom	Tom	PER
's	's	HAS
nose	nose	CON
.	.	NIL

# newdoc id = p02/d1984
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = 70 percent of British people cannot speak a second launguage
70	70	QUC
percent	percent	UOM
of	of	REL
British	British	GPO
people	people	CON
can	can	POS
not	not	NOT
speak	speak	EXS
a	a	DIS
second	second	ORD
launguage	launguage	CON

# newdoc id = p02/d2017
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Everyone looked at me.
Everyone	Everyone	AND
looked	looked	EPS
at	at	REL
me	me	PRO
.	.	NIL

# newdoc id = p02/d2018
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Susan enjoys listening to music.
Susan	Susan	PER
enjoys	enjoys	ENS
listening	listening	EXG
to	to	REL
music	music	CON
.	.	NIL

# newdoc id = p02/d2031
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom can't swim at all.
Tom	Tom	PER
ca	ca	POS
n't	n't	NOT
swim	swim	EXS
at~all	at~all	EMP
.	.	NIL

# newdoc id = p02/d2035
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = I told you not to move.
I	I	PRO
told	told	EPS
you	you	PRO
not	not	NOT
to	to	NIL
move	move	EXS
.	.	NIL

# newdoc id = p02/d2037
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom bought a Geiger counter.
Tom	Tom	PER
bought	bought	EPS
a	a	DIS
Geiger~counter	Geiger~counter	CON
.	.	NIL

# newdoc id = p02/d2056
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Tom is Mary's former husband.
Tom	Tom	PER
is	is	ENS
Mary	Mary	PER
's	's	HAS
former	former	PST
husband	husband	ROL
.	.	NIL

# newdoc id = p02/d2057
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = She dropped lemon juice into her tea.
She	She	PRO
dropped	dropped	EPS
lemon~juice	lemon~juice	CON
into	into	REL
her	her	HAS
tea	tea	CON
.	.	NIL

# newdoc id = p02/d2064
# layer:statuses =
# tok:gold	tok:gold	sem:gold
# raw sent = Who is lurking in the shadows?
Who	Who	QUE
is	is	NOW
lurking	lurking	EXG
in	in	REL
the	the	DEF
shadows	shadows	CON
?	?	QUE

# newdoc id = p02/d2070
# layer:statuses =
# tok:gold	tok:gold	sem:gold
